type,params,description
home,{},Move to home position
servo,"{""angle"": 48}",Servo: Set angle to 48° (Y=0.0cm)
photo,{},"Camera: Take photo at Y=0.0cm, Angle=48°"
stepper,"{""steps"": 10864, ""direction"": 1, ""speed"": 80}","Stepper: 10864 steps, 23.3cm, Direction upward, Speed: 80"
servo,"{""angle"": 66}",Servo: Set angle to 66° (Y=23.3cm)
photo,{},"Camera: Take photo at Y=23.3cm, Angle=66°"
stepper,"{""steps"": 10864, ""direction"": 1, ""speed"": 80}","Stepper: 10864 steps, 23.3cm, Direction upward, Speed: 80"
servo,"{""angle"": 41}",Servo: Set angle to 41° (Y=46.7cm)
photo,{},"Camera: Take photo at Y=46.7cm, Angle=41°"
stepper,"{""steps"": 10864, ""direction"": 1, ""speed"": 80}","Stepper: 10864 steps, 23.3cm, Direction upward, Speed: 80"
servo,"{""angle"": 25}",Servo: Set angle to 25° (Y=70.0cm)
photo,{},"Camera: Take photo at Y=70.0cm, Angle=25°"
