type,params,description
home,{},Home-Position anfahren
servo,"{""angle"": 90}",Servo: Winkel auf 90° setzen (Y=0.0cm)
photo,{},"Kamera: Foto aufnehmen bei Y=0.0cm, Winkel=90°"
stepper,"{""steps"": 1086, ""direction"": 1, ""speed"": 80}","Stepper: 1086 Schritte, 2.3cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 87}",Servo: Winkel auf 87° setzen (Y=2.3cm)
photo,{},"Kamera: Foto aufnehmen bei Y=2.3cm, Winkel=87°"
stepper,"{""steps"": 1086, ""direction"": 1, ""speed"": 80}","Stepper: 1086 Schritte, 2.3cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 84}",Servo: Winkel auf 84° setzen (Y=4.7cm)
photo,{},"Kamera: Foto aufnehmen bei Y=4.7cm, Winkel=84°"
stepper,"{""steps"": 1086, ""direction"": 1, ""speed"": 80}","Stepper: 1086 Schritte, 2.3cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 82}",Servo: Winkel auf 82° setzen (Y=7.0cm)
photo,{},"Kamera: Foto aufnehmen bei Y=7.0cm, Winkel=82°"
stepper,"{""steps"": 1086, ""direction"": 1, ""speed"": 80}","Stepper: 1086 Schritte, 2.3cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 79}",Servo: Winkel auf 79° setzen (Y=9.3cm)
photo,{},"Kamera: Foto aufnehmen bei Y=9.3cm, Winkel=79°"
stepper,"{""steps"": 1086, ""direction"": 1, ""speed"": 80}","Stepper: 1086 Schritte, 2.3cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 76}",Servo: Winkel auf 76° setzen (Y=11.7cm)
photo,{},"Kamera: Foto aufnehmen bei Y=11.7cm, Winkel=76°"
stepper,"{""steps"": 1086, ""direction"": 1, ""speed"": 80}","Stepper: 1086 Schritte, 2.3cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 74}",Servo: Winkel auf 74° setzen (Y=14.0cm)
photo,{},"Kamera: Foto aufnehmen bei Y=14.0cm, Winkel=74°"
stepper,"{""steps"": 1086, ""direction"": 1, ""speed"": 80}","Stepper: 1086 Schritte, 2.3cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 71}",Servo: Winkel auf 71° setzen (Y=16.3cm)
photo,{},"Kamera: Foto aufnehmen bei Y=16.3cm, Winkel=71°"
stepper,"{""steps"": 1086, ""direction"": 1, ""speed"": 80}","Stepper: 1086 Schritte, 2.3cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 69}",Servo: Winkel auf 69° setzen (Y=18.7cm)
photo,{},"Kamera: Foto aufnehmen bei Y=18.7cm, Winkel=69°"
stepper,"{""steps"": 1086, ""direction"": 1, ""speed"": 80}","Stepper: 1086 Schritte, 2.3cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 67}",Servo: Winkel auf 67° setzen (Y=21.0cm)
photo,{},"Kamera: Foto aufnehmen bei Y=21.0cm, Winkel=67°"
stepper,"{""steps"": 1086, ""direction"": 1, ""speed"": 80}","Stepper: 1086 Schritte, 2.3cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 65}",Servo: Winkel auf 65° setzen (Y=23.3cm)
photo,{},"Kamera: Foto aufnehmen bei Y=23.3cm, Winkel=65°"
stepper,"{""steps"": 1086, ""direction"": 1, ""speed"": 80}","Stepper: 1086 Schritte, 2.3cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 62}",Servo: Winkel auf 62° setzen (Y=25.7cm)
photo,{},"Kamera: Foto aufnehmen bei Y=25.7cm, Winkel=62°"
stepper,"{""steps"": 1086, ""direction"": 1, ""speed"": 80}","Stepper: 1086 Schritte, 2.3cm, Richtung aufwärts, Geschwindigkeit: 80"
