type,params,description
servo,"{""angle"": 53}",Servo: Winkel auf 53° setzen (Y=30.0cm)
photo,{},"Kamera: Foto aufnehmen bei Y=30.0cm, Winkel=53°"
stepper,"{""steps"": 1164, ""direction"": 1, ""speed"": 80}","Stepper: 1164 Schritte, 2.5cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 50}",Servo: Winkel auf 50° setzen (Y=32.5cm)
photo,{},"Kamera: Foto aufnehmen bei Y=32.5cm, Winkel=50°"
stepper,"{""steps"": 1164, ""direction"": 1, ""speed"": 80}","Stepper: 1164 Schritte, 2.5cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 48}",Servo: Winkel auf 48° setzen (Y=35.0cm)
photo,{},"Kamera: Foto aufnehmen bei Y=35.0cm, Winkel=48°"
stepper,"{""steps"": 1164, ""direction"": 1, ""speed"": 80}","Stepper: 1164 Schritte, 2.5cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 46}",Servo: Winkel auf 46° setzen (Y=37.5cm)
photo,{},"Kamera: Foto aufnehmen bei Y=37.5cm, Winkel=46°"
stepper,"{""steps"": 1164, ""direction"": 1, ""speed"": 80}","Stepper: 1164 Schritte, 2.5cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 45}",Servo: Winkel auf 45° setzen (Y=40.0cm)
photo,{},"Kamera: Foto aufnehmen bei Y=40.0cm, Winkel=45°"
stepper,"{""steps"": 1164, ""direction"": 1, ""speed"": 80}","Stepper: 1164 Schritte, 2.5cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 43}",Servo: Winkel auf 43° setzen (Y=42.5cm)
photo,{},"Kamera: Foto aufnehmen bei Y=42.5cm, Winkel=43°"
stepper,"{""steps"": 1164, ""direction"": 1, ""speed"": 80}","Stepper: 1164 Schritte, 2.5cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 41}",Servo: Winkel auf 41° setzen (Y=45.0cm)
photo,{},"Kamera: Foto aufnehmen bei Y=45.0cm, Winkel=41°"
stepper,"{""steps"": 1164, ""direction"": 1, ""speed"": 80}","Stepper: 1164 Schritte, 2.5cm, Richtung aufwärts, Geschwindigkeit: 80"
servo,"{""angle"": 40}",Servo: Winkel auf 40° setzen (Y=47.5cm)
photo,{},"Kamera: Foto aufnehmen bei Y=47.5cm, Winkel=40°"
